Cod_depto;Departamento;id;Provincia;Cod_prov
001;Comuna 1;2001;Ciudad Autónoma de Buenos Aires;2
002;Comuna 2;2002;Ciudad Autónoma de Buenos Aires;2
003;Comuna 3;2003;Ciudad Autónoma de Buenos Aires;2
004;Comuna 4;2004;Ciudad Autónoma de Buenos Aires;2
005;Comuna 5;2005;Ciudad Autónoma de Buenos Aires;2
006;Comuna 6;2006;Ciudad Autónoma de Buenos Aires;2
007;Comuna 7;2007;Ciudad Autónoma de Buenos Aires;2
008;Comuna 8;2008;Ciudad Autónoma de Buenos Aires;2
009;Comuna 9;2009;Ciudad Autónoma de Buenos Aires;2
010;Comuna 10;2010;Ciudad Autónoma de Buenos Aires;2
011;Comuna 11;2011;Ciudad Autónoma de Buenos Aires;2
012;Comuna 12;2012;Ciudad Autónoma de Buenos Aires;2
013;Comuna 13;2013;Ciudad Autónoma de Buenos Aires;2
014;Comuna 14;2014;Ciudad Autónoma de Buenos Aires;2
015;Comuna 15;2015;Ciudad Autónoma de Buenos Aires;2
007;Adolfo Alsina;6007;Buenos Aires;6
014;Adolfo Gonzales Chaves;6014;Buenos Aires;6
021;Alberti;6021;Buenos Aires;6
028;Almirante Brown;6028;Buenos Aires;6
035;Avellaneda;6035;Buenos Aires;6
042;Ayacucho;6042;Buenos Aires;6
049;Azul;6049;Buenos Aires;6
056;Bahía Blanca;6056;Buenos Aires;6
063;Balcarce;6063;Buenos Aires;6
070;Baradero;6070;Buenos Aires;6
077;Arrecifes;6077;Buenos Aires;6
084;Benito Juárez;6084;Buenos Aires;6
091;Berazategui;6091;Buenos Aires;6
098;Berisso;6098;Buenos Aires;6
105;Bolívar;6105;Buenos Aires;6
112;Bragado;6112;Buenos Aires;6
119;Brandsen;6119;Buenos Aires;6
126;Campana;6126;Buenos Aires;6
134;Cañuelas;6134;Buenos Aires;6
140;Capitán Sarmiento;6140;Buenos Aires;6
147;Carlos Casares;6147;Buenos Aires;6
154;Carlos Tejedor;6154;Buenos Aires;6
161;Carmen de Areco;6161;Buenos Aires;6
168;Castelli;6168;Buenos Aires;6
175;Colón;6175;Buenos Aires;6
182;Coronel de Marina Leonardo Rosales;6182;Buenos Aires;6
189;Coronel Dorrego;6189;Buenos Aires;6
196;Coronel Pringles;6196;Buenos Aires;6
203;Coronel Suárez;6203;Buenos Aires;6
210;Chacabuco;6210;Buenos Aires;6
217;Chascomús;6217;Buenos Aires;6
224;Chivilcoy;6224;Buenos Aires;6
231;Daireaux;6231;Buenos Aires;6
238;Dolores;6238;Buenos Aires;6
245;Ensenada;6245;Buenos Aires;6
252;Escobar;6252;Buenos Aires;6
260;Esteban Echeverría;6260;Buenos Aires;6
266;Exaltación de la Cruz;6266;Buenos Aires;6
270;Ezeiza;6270;Buenos Aires;6
274;Florencio Varela;6274;Buenos Aires;6
277;Florentino Ameghino;6277;Buenos Aires;6
280;General Alvarado;6280;Buenos Aires;6
287;General Alvear;6287;Buenos Aires;6
294;General Arenales;6294;Buenos Aires;6
301;General Belgrano;6301;Buenos Aires;6
308;General Guido;6308;Buenos Aires;6
315;General Juan Madariaga;6315;Buenos Aires;6
322;General La Madrid;6322;Buenos Aires;6
329;General Las Heras;6329;Buenos Aires;6
336;General Lavalle;6336;Buenos Aires;6
343;General Paz;6343;Buenos Aires;6
351;General Pinto;6351;Buenos Aires;6
357;General Pueyrredón;6357;Buenos Aires;6
364;General Rodríguez;6364;Buenos Aires;6
371;General San Martín;6371;Buenos Aires;6
385;General Viamonte;6385;Buenos Aires;6
392;General Villegas;6392;Buenos Aires;6
399;Guaminí;6399;Buenos Aires;6
406;Hipólito Yrigoyen;6406;Buenos Aires;6
408;Hurlingham;6408;Buenos Aires;6
410;Ituzaingó;6410;Buenos Aires;6
412;José C. Paz;6412;Buenos Aires;6
413;Junín;6413;Buenos Aires;6
420;La Costa;6420;Buenos Aires;6
427;La Matanza;6427;Buenos Aires;6
434;Lanús;6434;Buenos Aires;6
441;La Plata;6441;Buenos Aires;6
448;Laprida;6448;Buenos Aires;6
455;Las Flores;6455;Buenos Aires;6
462;Leandro N. Alem;6462;Buenos Aires;6
469;Lincoln;6469;Buenos Aires;6
476;Lobería;6476;Buenos Aires;6
483;Lobos;6483;Buenos Aires;6
490;Lomas de Zamora;6490;Buenos Aires;6
497;Luján;6497;Buenos Aires;6
505;Magdalena;6505;Buenos Aires;6
511;Maipú;6511;Buenos Aires;6
515;Malvinas Argentinas;6515;Buenos Aires;6
518;Mar Chiquita;6518;Buenos Aires;6
525;Marcos Paz;6525;Buenos Aires;6
532;Mercedes;6532;Buenos Aires;6
539;Merlo;6539;Buenos Aires;6
547;Monte;6547;Buenos Aires;6
553;Monte Hermoso;6553;Buenos Aires;6
560;Moreno;6560;Buenos Aires;6
568;Morón;6568;Buenos Aires;6
574;Navarro;6574;Buenos Aires;6
581;Necochea;6581;Buenos Aires;6
588;9 de Julio;6588;Buenos Aires;6
595;Olavarría;6595;Buenos Aires;6
602;Patagones;6602;Buenos Aires;6
609;Pehuajó;6609;Buenos Aires;6
616;Pellegrini;6616;Buenos Aires;6
623;Pergamino;6623;Buenos Aires;6
630;Pila;6630;Buenos Aires;6
638;Pilar;6638;Buenos Aires;6
644;Pinamar;6644;Buenos Aires;6
648;Presidente Perón;6648;Buenos Aires;6
651;Puán;6651;Buenos Aires;6
655;Punta Indio;6655;Buenos Aires;6
658;Quilmes;6658;Buenos Aires;6
665;Ramallo;6665;Buenos Aires;6
672;Rauch;6672;Buenos Aires;6
679;Rivadavia;6679;Buenos Aires;6
686;Rojas;6686;Buenos Aires;6
693;Roque Pérez;6693;Buenos Aires;6
700;Saavedra;6700;Buenos Aires;6
707;Saladillo;6707;Buenos Aires;6
714;Salto;6714;Buenos Aires;6
721;Salliqueló;6721;Buenos Aires;6
728;San Andrés de Giles;6728;Buenos Aires;6
735;San Antonio de Areco;6735;Buenos Aires;6
742;San Cayetano;6742;Buenos Aires;6
749;San Fernando;6749;Buenos Aires;6
756;San Isidro;6756;Buenos Aires;6
760;San Miguel;6760;Buenos Aires;6
763;San Nicolás;6763;Buenos Aires;6
770;San Pedro;6770;Buenos Aires;6
778;San Vicente;6778;Buenos Aires;6
784;Suipacha;6784;Buenos Aires;6
791;Tandil;6791;Buenos Aires;6
798;Tapalqué;6798;Buenos Aires;6
805;Tigre;6805;Buenos Aires;6
812;Tordillo;6812;Buenos Aires;6
819;Tornquist;6819;Buenos Aires;6
826;Trenque Lauquen;6826;Buenos Aires;6
833;Tres Arroyos;6833;Buenos Aires;6
840;Tres de Febrero;6840;Buenos Aires;6
847;Tres Lomas;6847;Buenos Aires;6
854;25 de Mayo;6854;Buenos Aires;6
861;Vicente López;6861;Buenos Aires;6
868;Villa Gesell;6868;Buenos Aires;6
875;Villarino;6875;Buenos Aires;6
882;Zárate;6882;Buenos Aires;6
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
